[2021-06-20 12:12:18,74] [info] Pre Processing Workflow...
[2021-06-20 12:12:19,12] [info] Pre-Processing file:///home/a-m/azzaea/scalability-tst/src/cwl/host_workflow.cwl
[2021-06-20 12:12:41,62] [info] Pre-Processing file:///home/a-m/azzaea/scalability-tst/src/cwl/host.sort.tool.cwl
[2021-06-20 12:12:41,73] [info] Pre-Processing file:///home/a-m/azzaea/scalability-tst/src/cwl/host.hostname.tool.cwl
[2021-06-20 12:12:41,79] [info] Pre-Processing file:///home/a-m/azzaea/scalability-tst/src/cwl/host.serialize.tool.cwl
[2021-06-20 12:12:41,89] [info] Pre Processing Inputs...
[2021-06-20 12:12:42,24] [info] Running with database db.url = jdbc:hsqldb:mem:e57a502a-7082-46be-8918-78846c5a2916;shutdown=false;hsqldb.tx=mvcc
[2021-06-20 12:12:53,06] [info] Running migration RenameWorkflowOptionsInMetadata with a read batch size of 100000 and a write batch size of 100000
[2021-06-20 12:12:53,11] [info] [RenameWorkflowOptionsInMetadata] 100%
[2021-06-20 12:12:53,34] [info] Running with database db.url = jdbc:hsqldb:mem:6e8fc7c5-3a53-4699-98af-1fae45c40818;shutdown=false;hsqldb.tx=mvcc
[2021-06-20 12:12:54,50] [info] Slf4jLogger started
[2021-06-20 12:12:55,45] [info] Workflow heartbeat configuration:
{
  "cromwellId" : "cromid-00e4f4d",
  "heartbeatInterval" : "2 minutes",
  "ttl" : "10 minutes",
  "failureShutdownDuration" : "5 minutes",
  "writeBatchSize" : 10000,
  "writeThreshold" : 10000
}
[2021-06-20 12:12:55,70] [info] Metadata summary refreshing every 1 second.
[2021-06-20 12:12:55,70] [info] No metadata archiver defined in config
[2021-06-20 12:12:55,70] [info] No metadata deleter defined in config
[2021-06-20 12:12:55,71] [info] WriteMetadataActor configured to flush with batch size 200 and process rate 5 seconds.
[2021-06-20 12:12:55,71] [info] KvWriteActor configured to flush with batch size 200 and process rate 5 seconds.
[2021-06-20 12:12:55,80] [info] CallCacheWriteActor configured to flush with batch size 100 and process rate 3 seconds.
[2021-06-20 12:12:55,80] [[38;5;220mwarn[0m] 'docker.hash-lookup.gcr-api-queries-per-100-seconds' is being deprecated, use 'docker.hash-lookup.gcr.throttle' instead (see reference.conf)
[2021-06-20 12:12:56,41] [info] JobExecutionTokenDispenser - Distribution rate: 512 per 1 seconds.
[2021-06-20 12:12:56,79] [info] SingleWorkflowRunnerActor: Version 63
[2021-06-20 12:12:56,84] [info] SingleWorkflowRunnerActor: Submitting workflow
[2021-06-20 12:12:57,08] [info] cwl (Unspecified version) workflow 2f09db6e-394d-458f-8e7c-e111a9c21aaa submitted
[2021-06-20 12:12:57,09] [info] SingleWorkflowRunnerActor: Workflow submitted [38;5;2m2f09db6e-394d-458f-8e7c-e111a9c21aaa[0m
[2021-06-20 12:12:57,10] [info] 1 new workflows fetched by cromid-00e4f4d: 2f09db6e-394d-458f-8e7c-e111a9c21aaa
[2021-06-20 12:12:57,17] [info] WorkflowManagerActor: Starting workflow [38;5;2m2f09db6e-394d-458f-8e7c-e111a9c21aaa[0m
[2021-06-20 12:12:57,20] [info] WorkflowManagerActor: Successfully started WorkflowActor-2f09db6e-394d-458f-8e7c-e111a9c21aaa
[2021-06-20 12:12:57,20] [info] Retrieved 1 workflows from the WorkflowStoreActor
[2021-06-20 12:12:57,26] [info] WorkflowStoreHeartbeatWriteActor configured to flush with batch size 10000 and process rate 2 minutes.
[2021-06-20 12:12:57,47] [info] MaterializeWorkflowDescriptorActor [[38;5;2m2f09db6e[0m]: Parsing workflow as CWL v1.0
[2021-06-20 12:12:59,55] [info] MaterializeWorkflowDescriptorActor [[38;5;2m2f09db6e[0m]: Call-to-Backend assignments: hostStep2 -> slurm, hostStep1 -> slurm, catsortStep -> slurm, rangeStep -> slurm
[2021-06-20 12:13:01,42] [info] Not triggering log of token queue status. Effective log interval = None
[2021-06-20 12:13:02,31] [info] WorkflowExecutionActor-2f09db6e-394d-458f-8e7c-e111a9c21aaa [[38;5;2m2f09db6e[0m]: Starting rangeStep
[2021-06-20 12:13:02,44] [info] Assigned new job execution tokens to the following groups: 2f09db6e: 1
[2021-06-20 12:13:02,73] [info] DispatchedConfigAsyncJobExecutionActor [[38;5;2m2f09db6e[0mrangeStep:NA:1]: [38;5;5m'echo'[0m
[2021-06-20 12:13:03,02] [info] DispatchedConfigAsyncJobExecutionActor [[38;5;2m2f09db6e[0mrangeStep:NA:1]: executing: sbatch -J cromwell_2f09db6e_rangeStep -D /home/a-m/azzaea/scalability-tst/src/cwl/cromwell-executions/host_workflow.cwl/2f09db6e-394d-458f-8e7c-e111a9c21aaa/call-rangeStep -o /home/a-m/azzaea/scalability-tst/src/cwl/cromwell-executions/host_workflow.cwl/2f09db6e-394d-458f-8e7c-e111a9c21aaa/call-rangeStep/execution/stdout -e /home/a-m/azzaea/scalability-tst/src/cwl/cromwell-executions/host_workflow.cwl/2f09db6e-394d-458f-8e7c-e111a9c21aaa/call-rangeStep/execution/stderr -p normal -c 1 --wrap "/bin/bash /home/a-m/azzaea/scalability-tst/src/cwl/cromwell-executions/host_workflow.cwl/2f09db6e-394d-458f-8e7c-e111a9c21aaa/call-rangeStep/execution/script"
[2021-06-20 12:13:05,82] [info] DispatchedConfigAsyncJobExecutionActor [[38;5;2m2f09db6e[0mrangeStep:NA:1]: job id: 7443200
[2021-06-20 12:13:05,82] [info] DispatchedConfigAsyncJobExecutionActor [[38;5;2m2f09db6e[0mrangeStep:NA:1]: Cromwell will watch for an rc file but will *not* double-check whether this job is actually alive (unless Cromwell restarts)
[2021-06-20 12:13:05,83] [info] DispatchedConfigAsyncJobExecutionActor [[38;5;2m2f09db6e[0mrangeStep:NA:1]: Status change from - to Running
[2021-06-20 12:13:06,78] [info] DispatchedConfigAsyncJobExecutionActor [[38;5;2m2f09db6e[0mrangeStep:NA:1]: Status change from Running to Done
